Reason_1,Reason_2,Reason_3,Month Value,Transportation Expense,Age,Body Mass Index,Education,Children,Pets,Probability_of_excessivly_absent
0,0,0,7,289,33,30,0,2,1,0.5650867051428717
0,0,0,7,118,50,31,0,1,0,0.14731807428005828
0,0,0,7,179,38,31,0,0,0,0.2388882112158331
1,0,0,7,279,39,24,0,2,0,0.8710797565400128
0,0,0,7,289,33,30,0,2,1,0.5650867051428717
0,0,0,7,179,38,31,0,0,0,0.2388882112158331
0,0,0,7,361,28,27,0,1,4,0.4574438112033867
0,0,0,7,260,36,23,0,4,0,0.5727488353814137
0,0,1,7,155,34,25,0,2,0,0.804765507508928
0,0,0,7,235,37,29,1,1,1,0.27831471919128625
1,0,0,7,260,36,23,0,4,0,0.9146179541205164
1,0,0,7,260,36,23,0,4,0,0.9146179541205164
1,0,0,7,260,36,23,0,4,0,0.9146179541205164
1,0,0,7,179,38,31,0,0,0,0.7149424216482618
0,0,0,7,179,38,31,0,0,0,0.2388882112158331
1,0,0,7,246,41,23,0,0,0,0.7084328602743768
0,0,0,7,179,38,31,0,0,0,0.2388882112158331
0,0,1,7,179,38,31,0,0,0,0.7862480293539182
1,0,0,7,189,33,25,0,2,2,0.7080834686479098
0,0,0,8,248,47,32,0,2,1,0.4142451691970046
1,0,0,8,330,28,25,1,0,0,0.8750377124727496
1,0,0,8,179,38,31,0,0,0,0.7233578453862777
1,0,0,8,361,28,27,0,1,4,0.8753731497995896
0,0,0,8,260,36,23,0,4,0,0.5829131311771253
0,0,1,8,289,33,30,0,2,1,0.9407405105636923
0,0,0,8,361,28,27,0,1,4,0.4678023213436028
0,0,0,8,289,33,30,0,2,1,0.5752981180686756
0,0,0,8,157,29,22,0,0,0,0.1625143625396185
0,0,1,8,289,33,30,0,2,1,0.9407405105636923
0,0,0,8,179,38,31,0,0,0,0.24654660469328515
0,0,1,8,179,38,31,0,0,0,0.7931673773323159
0,0,1,8,235,48,33,0,1,5,0.6855355101348767
0,0,0,8,235,37,29,1,1,1,0.28676085209866187
0,0,1,8,235,48,33,0,1,5,0.6855355101348767
0,0,0,8,179,38,31,0,0,0,0.24654660469328515
0,0,0,8,361,28,27,0,1,4,0.4678023213436028
0,0,0,8,289,33,30,0,2,1,0.5752981180686756
1,0,0,8,291,32,23,0,0,0,0.8316528587848478
0,0,0,8,235,48,33,0,1,5,0.1568425375505508
0,0,0,8,260,36,23,0,4,0,0.5829131311771253
0,0,0,9,184,27,21,0,0,0,0.20324872185855236
0,0,0,9,118,37,28,0,0,0,0.1438874446540934
0,0,0,9,179,38,31,0,0,0,0.2543684614561826
0,0,1,9,235,43,38,0,1,0,0.9239973430988043
0,0,0,9,155,34,25,0,2,0,0.27656714474296384
0,0,0,9,118,37,28,0,0,0,0.1438874446540934
0,0,0,9,179,38,31,0,0,0,0.2543684614561826
0,0,0,9,291,40,25,0,1,1,0.38150904376099615
0,0,0,9,260,36,23,0,4,0,0.5930074464606686
1,0,0,9,291,40,25,0,1,1,0.8313390665054777
0,0,0,9,260,36,23,0,4,0,0.5930074464606686
0,0,0,9,225,28,24,0,1,2,0.2670382729867153
0,0,0,9,225,28,24,0,1,2,0.2670382729867153
0,0,0,9,118,37,28,0,0,0,0.1438874446540934
0,0,0,9,289,33,30,0,2,1,0.5854456629238377
0,0,0,9,118,50,31,0,1,0,0.1580970392110156
0,0,1,9,225,28,24,0,1,2,0.810235177358442
0,0,0,9,179,38,31,0,0,0,0.2543684614561826
0,0,0,9,369,31,25,0,3,0,0.7890954110342657
0,0,0,9,248,47,32,0,2,1,0.4243906321439199
0,0,0,9,179,38,31,0,0,0,0.2543684614561826
0,0,0,9,260,36,23,0,4,0,0.5930074464606686
0,0,0,10,179,38,31,0,0,0,0.26235206491121577
0,0,0,10,118,37,28,0,0,0,0.14909686720538823
0,0,0,10,118,50,31,0,1,0,0.16372253358602176
0,0,0,10,179,30,19,1,0,0,0.13695370182579333
0,0,0,10,179,38,31,0,0,0,0.26235206491121577
0,0,0,10,225,28,24,0,1,2,0.27527272457072033
0,0,0,10,118,37,28,0,0,0,0.14909686720538823
0,0,0,10,225,28,24,0,1,2,0.27527272457072033
0,0,0,10,248,47,32,0,2,1,0.43460021484090944
0,0,0,10,291,40,25,0,1,1,0.3913884667169857
0,0,0,10,179,38,31,0,0,0,0.26235206491121577
0,0,0,10,225,28,24,0,1,2,0.27527272457072033
0,0,1,10,260,36,23,0,4,0,0.9468146814125107
1,0,0,10,291,40,25,0,1,1,0.8371011913141447
0,0,0,10,225,28,24,0,1,2,0.27527272457072033
0,0,0,10,289,33,30,0,2,1,0.5955212161757275
0,0,0,10,361,28,27,0,1,4,0.4885938907930763
0,0,0,10,260,36,23,0,4,0,0.6030238345366274
0,0,0,11,179,38,31,0,0,0,0.27049534026902733
0,0,0,11,225,28,24,0,1,2,0.28366282643544444
1,0,0,11,179,38,31,0,0,0,0.747662552619609
0,0,1,11,179,40,22,1,2,0,0.7623624268122354
0,0,0,11,291,40,25,0,1,1,0.40135770517493013
1,0,0,11,155,34,25,0,2,0,0.768538672934214
0,0,0,11,189,33,25,0,2,2,0.2639520837643039
1,0,0,11,291,40,25,0,1,1,0.8427037061259384
0,0,0,11,225,28,24,0,1,2,0.28366282643544444
1,0,0,11,155,34,25,0,2,0,0.768538672934214
0,0,0,11,225,28,24,0,1,2,0.28366282643544444
0,0,1,11,179,40,22,1,2,0,0.7623624268122354
1,0,0,11,225,28,24,0,1,2,0.7598633889206126
0,0,0,11,260,36,23,0,4,0,0.612954605045271
0,0,0,11,248,47,32,0,2,1,0.4448655858708061
0,0,0,11,225,28,24,0,1,2,0.28366282643544444
1,0,0,11,289,33,30,0,2,1,0.9246172572210539
0,0,0,11,291,40,25,0,1,1,0.40135770517493013
0,0,0,12,248,47,32,0,2,1,0.45517822523294504
0,0,1,12,118,37,28,0,0,0,0.6905891896677646
0,0,0,12,118,50,31,0,1,0,0.1754547999240985
0,0,0,12,235,37,29,1,1,1,0.3220220986527636
0,0,0,12,225,28,24,0,1,2,0.2922055458968715
0,0,0,12,260,36,23,0,4,0,0.6227923457644088
0,0,1,12,118,37,28,0,0,0,0.6905891896677646
0,0,0,12,361,28,27,0,1,4,0.5094250017555024
0,0,0,12,225,28,24,0,1,2,0.2922055458968715
0,0,0,12,260,36,23,0,4,0,0.6227923457644088
0,0,0,12,225,28,24,0,1,2,0.2922055458968715
0,0,0,12,361,28,27,0,1,4,0.5094250017555024
0,0,0,12,118,37,28,0,0,0,0.15998156372958242
0,0,1,12,246,41,23,0,0,0,0.8144324022269376
0,0,0,12,225,28,24,0,1,2,0.2922055458968715
0,0,0,1,225,28,24,0,1,2,0.2070091314696499
0,0,1,1,118,37,28,0,0,0,0.5852887224690229
0,0,0,1,118,37,28,0,0,0,0.10748252616942704
0,0,1,1,155,34,25,0,2,0,0.7624826531243354
0,0,0,1,225,28,24,0,1,2,0.2070091314696499
0,0,0,1,184,27,21,0,0,0,0.1545358831263115
0,0,0,1,225,28,24,0,1,2,0.2070091314696499
0,0,0,1,225,28,24,0,1,2,0.2070091314696499
0,0,0,1,118,37,28,0,0,0,0.10748252616942704
0,0,0,1,225,28,24,0,1,2,0.2070091314696499
0,0,0,1,118,37,28,0,0,0,0.10748252616942704
0,0,0,1,118,37,28,0,0,0,0.10748252616942704
0,0,0,1,118,37,28,0,0,0,0.10748252616942704
0,0,0,1,118,37,28,0,0,0,0.10748252616942704
0,0,0,1,118,37,28,0,0,0,0.10748252616942704
0,0,0,1,118,37,28,0,0,0,0.10748252616942704
0,0,1,1,179,30,19,1,0,0,0.5610438093704871
0,0,1,1,289,33,30,0,2,1,0.9222316943913578
0,0,0,1,118,37,28,0,0,0,0.10748252616942704
0,0,0,1,184,27,21,0,0,0,0.1545358831263115
0,0,0,1,118,37,28,0,0,0,0.10748252616942704
0,0,0,1,118,37,28,0,0,0,0.10748252616942704
0,0,0,1,225,28,24,0,1,2,0.2070091314696499
0,0,0,1,289,33,30,0,2,1,0.5029554681854502
0,0,0,2,184,27,21,0,0,0,0.16005875299381944
1,0,0,2,246,41,23,0,0,0,0.6636143516434426
1,0,0,2,179,38,31,0,0,0,0.6706593603078903
0,0,0,2,155,34,25,0,2,0,0.22214099274509588
0,0,0,2,189,33,25,0,2,2,0.1977299033827679
0,0,0,2,260,36,23,0,4,0,0.5211706282274773
0,0,0,2,289,33,30,0,2,1,0.5133694183621224
1,0,0,2,388,50,24,0,0,0,0.8491819320830872
1,0,0,2,388,50,24,0,0,0,0.8491819320830872
0,0,0,2,225,28,24,0,1,2,0.21393279168028764
0,0,0,2,225,28,24,0,1,2,0.21393279168028764
0,0,0,2,179,30,19,1,0,0,0.10209388168857798
0,0,0,2,184,27,21,0,0,0,0.16005875299381944
0,0,0,2,225,28,24,0,1,2,0.21393279168028764
0,0,1,2,330,28,25,1,0,0,0.8888640098822277
0,0,0,2,330,28,25,1,0,0,0.4056323534927196
0,0,0,2,225,28,24,0,1,2,0.21393279168028764
0,0,1,2,189,33,25,0,2,2,0.7428237503384114
0,0,0,3,291,32,23,0,0,0,0.3341998300230946
0,0,1,3,260,36,23,0,4,0,0.9300619988938859
0,0,1,3,157,29,22,0,0,0,0.6486842555651546
0,1,0,3,179,40,22,1,2,0,0.25653108361693433
0,0,0,3,291,40,25,0,1,1,0.3245020007566096
1,0,0,3,260,36,23,0,4,0,0.900670505860294
1,0,0,3,179,30,19,1,0,0,0.4864510809887906
1,0,0,3,248,47,32,0,2,1,0.8210547588911377
1,0,0,3,260,36,23,0,4,0,0.900670505860294
1,0,0,3,179,40,22,1,2,0,0.6104925020784289
1,0,0,3,155,34,25,0,2,0,0.7040649844881356
0,0,0,3,260,36,23,0,4,0,0.531558389510227
1,0,0,3,155,34,25,0,2,0,0.7040649844881356
1,0,0,3,289,33,30,0,2,1,0.8978402319332041
1,0,0,3,179,40,22,1,2,0,0.6104925020784289
0,0,0,3,260,36,23,0,4,0,0.531558389510227
0,0,0,3,225,28,24,0,1,2,0.2210234782720066
1,0,0,3,279,39,24,0,2,0,0.8511774465838807
1,0,0,3,179,38,31,0,0,0,0.6797965892608091
0,0,0,3,225,28,24,0,1,2,0.2210234782720066
1,0,0,3,225,28,24,0,1,2,0.6939355492152981
1,0,0,3,179,30,19,1,0,0,0.4864510809887906
1,0,0,3,225,28,24,0,1,2,0.6939355492152981
1,0,0,3,225,28,24,0,1,2,0.6939355492152981
1,0,0,3,179,38,31,0,0,0,0.6797965892608091
1,0,0,3,279,39,24,0,2,0,0.8511774465838807
0,0,0,3,225,28,24,0,1,2,0.2210234782720066
1,0,0,3,248,47,32,0,2,1,0.8210547588911377
0,0,0,3,225,28,24,0,1,2,0.2210234782720066
0,0,0,4,291,40,25,0,1,1,0.33370167947475976
0,0,0,4,225,28,24,0,1,2,0.22828093080827802
0,0,0,4,155,34,25,0,2,0,0.23687375188891643
1,0,0,4,246,41,23,0,0,0,0.6819569424835542
0,0,0,4,155,34,25,0,2,0,0.23687375188891643
0,0,0,4,225,28,24,0,1,2,0.22828093080827802
0,0,0,4,260,36,23,0,4,0,0.5419188710491704
1,0,0,4,179,38,31,0,0,0,0.688797946511775
0,0,0,4,118,50,31,0,1,0,0.1322972623904266
0,0,0,4,291,40,25,0,1,1,0.33370167947475976
1,0,0,4,246,41,23,0,0,0,0.6819569424835542
0,0,0,4,291,40,25,0,1,1,0.33370167947475976
0,0,0,4,248,47,32,0,2,1,0.37446311658616094
0,0,1,4,260,36,23,0,4,0,0.9327242971456932
0,0,1,4,289,33,30,0,2,1,0.9307371205494026
1,0,0,4,155,34,25,0,2,0,0.7126724747778437
0,0,1,4,378,36,21,0,2,4,0.878441495947487
1,0,0,4,289,33,30,0,2,1,0.9015993302099614
1,0,0,4,235,37,29,1,1,1,0.7311477387595589
0,0,0,4,235,48,33,0,1,5,0.1360391168018933
1,0,0,5,289,33,30,0,2,1,0.9052347071872202
0,0,0,5,155,34,25,0,2,0,0.24448830974655134
0,0,0,5,155,34,25,0,2,0,0.24448830974655134
0,0,1,5,179,38,31,0,0,0,0.7719084986327132
0,0,1,5,225,28,24,0,1,2,0.7832768309111406
1,0,0,5,184,27,21,0,0,0,0.6330931594453749
0,0,0,5,155,34,25,0,2,0,0.24448830974655134
1,0,0,5,179,38,31,0,0,0,0.697658803642151
1,0,0,5,289,33,30,0,2,1,0.9052347071872202
0,0,0,5,279,39,24,0,2,0,0.4375545940203601
0,0,0,5,330,28,25,1,0,0,0.43609010207107624
0,0,0,5,378,36,21,0,2,4,0.39130775440958615
0,0,0,5,388,50,24,0,0,0,0.44396366305737
1,0,0,5,179,38,31,0,0,0,0.697658803642151
1,0,0,5,118,50,31,0,1,0,0.5595081035978776
0,0,0,5,361,28,27,0,1,4,0.43684550173265857
0,0,1,6,246,41,23,0,0,0,0.7736543123883102
0,0,0,6,361,28,27,0,1,4,0.4471219671727777
1,0,0,6,246,41,23,0,0,0,0.6997518712288908
0,0,0,6,291,40,25,0,1,1,0.352480580754477
1,0,0,6,246,41,23,0,0,0,0.6997518712288908
1,0,0,6,179,38,31,0,0,0,0.7063749155350978
0,0,0,6,155,34,25,0,2,0,0.252266729336271
1,0,0,6,246,41,23,0,0,0,0.6997518712288908
1,0,0,6,118,50,31,0,1,0,0.5697507704094608
1,0,0,6,235,37,29,1,1,1,0.7472106028342809
0,0,0,6,118,50,31,0,1,0,0.14216041896097228
1,0,0,6,118,50,31,0,1,0,0.5697507704094608
0,0,0,6,378,36,21,0,2,4,0.40127629249892444
1,0,0,6,179,38,31,0,0,0,0.7063749155350978
0,0,0,6,289,49,36,0,0,2,0.3306267036453375
0,0,0,6,225,28,24,0,1,2,0.2432935361359003
0,0,1,7,155,34,25,0,2,0,0.804765507508928
1,0,0,7,118,50,31,0,1,0,0.5799340796718764
1,0,0,7,118,37,28,0,0,0,0.552700540289015
0,0,0,7,118,37,28,0,0,0,0.13392317243516833
0,0,0,7,330,28,25,1,0,0,0.45668167725357967
0,0,1,7,179,30,19,1,0,0,0.621380026432886
0,0,0,7,155,34,25,0,2,0,0.26020738803273225
1,0,0,7,330,28,25,1,0,0,0.8704097558465151
1,0,0,7,330,28,25,1,0,0,0.8704097558465151
0,0,0,7,157,29,22,0,0,0,0.15692259122368782
0,0,0,7,361,28,27,0,1,4,0.4574438112033867
0,0,0,7,289,33,30,0,2,1,0.5650867051428717
0,0,0,7,179,38,31,0,0,0,0.2388882112158331
0,0,1,7,289,33,30,0,2,1,0.9383744783347208
0,0,1,7,289,33,30,0,2,1,0.9383744783347208
0,0,0,7,260,36,23,0,4,0,0.5727488353814137
0,0,1,8,289,33,30,0,2,1,0.9407405105636923
0,0,1,8,157,29,22,0,0,0,0.694576459901595
0,0,0,8,289,33,30,0,2,1,0.5752981180686756
0,0,1,8,228,58,22,0,2,1,0.719393514710766
1,0,0,8,300,43,25,0,2,1,0.8635398092888286
1,0,0,8,300,43,25,0,2,1,0.8635398092888286
0,0,0,8,260,36,23,0,4,0,0.5829131311771253
0,0,0,8,289,33,30,0,2,1,0.5752981180686756
0,0,0,8,248,47,32,0,2,1,0.4142451691970046
1,0,0,8,268,33,25,1,0,0,0.7770728249447637
0,0,0,8,179,30,19,1,0,0,0.127398141153602
1,0,0,8,118,50,31,0,1,0,0.5900497882429571
0,0,0,8,248,47,32,0,2,1,0.4142451691970046
0,0,0,8,235,37,29,1,1,1,0.28676085209866187
0,0,0,8,118,50,31,0,1,0,0.1526295586395403
0,0,1,8,235,37,29,1,1,1,0.8249241793306225
1,0,0,8,361,28,27,0,1,4,0.8753731497995896
1,0,0,8,184,27,21,0,0,0,0.6616184325649048
1,0,0,9,179,38,31,0,0,0,0.7316180916648416
0,0,0,9,179,38,31,0,0,0,0.2543684614561826
0,0,1,9,289,33,30,0,2,1,0.9430212179606959
0,0,0,9,235,43,38,0,1,0,0.5091740666878883
1,0,0,9,246,41,23,0,0,0,0.7253430426351767
0,0,0,9,291,40,25,0,1,1,0.38150904376099615
0,0,0,9,231,39,35,0,2,2,0.4370863239721707
0,0,0,9,291,32,23,0,0,0,0.39192207870451135
1,0,0,9,179,38,31,0,0,0,0.7316180916648416
1,0,0,9,246,41,23,0,0,0,0.7253430426351767
0,0,0,9,179,38,31,0,0,0,0.2543684614561826
0,0,0,9,291,40,25,0,1,1,0.38150904376099615
0,0,0,9,260,36,23,0,4,0,0.5930074464606686
0,0,0,9,235,43,38,0,1,0,0.5091740666878883
0,0,0,9,118,50,31,0,1,0,0.1580970392110156
0,0,0,9,235,43,38,0,1,0,0.5091740666878883
0,0,0,9,291,40,25,0,1,1,0.38150904376099615
1,0,0,9,291,40,25,0,1,1,0.8313390665054777
1,0,0,9,179,38,31,0,0,0,0.7316180916648416
0,0,0,10,289,33,30,0,2,1,0.5955212161757275
0,0,0,10,235,37,29,1,1,1,0.3041038154554577
0,0,0,10,289,33,30,0,2,1,0.5955212161757275
0,0,0,10,289,33,30,0,2,1,0.5955212161757275
0,0,0,10,118,50,31,0,1,0,0.16372253358602176
0,0,0,10,248,47,32,0,2,1,0.43460021484090944
1,0,0,10,179,30,19,1,0,0,0.5590900635136818
1,0,0,10,118,37,28,0,0,0,0.5833627518429296
0,0,0,10,369,31,25,0,3,0,0.7959465079704541
0,0,0,10,179,38,31,0,0,0,0.26235206491121577
1,0,0,10,179,30,19,1,0,0,0.5590900635136818
0,0,0,10,235,43,38,0,1,0,0.5195821784928032
0,0,1,10,289,33,30,0,2,1,0.9452192596491691
0,0,0,10,260,36,23,0,4,0,0.6030238345366274
0,0,0,10,235,43,38,0,1,0,0.5195821784928032
0,0,0,10,235,43,38,0,1,0,0.5195821784928032
0,0,0,10,235,43,38,0,1,0,0.5195821784928032
0,0,0,10,118,50,31,0,1,0,0.16372253358602176
0,0,0,10,291,40,25,0,1,1,0.3913884667169857
0,0,0,10,179,30,19,1,0,0,0.13695370182579333
0,0,0,10,118,50,31,0,1,0,0.16372253358602176
1,0,0,10,361,28,27,0,1,4,0.8841840556969744
0,0,0,10,260,36,23,0,4,0,0.6030238345366274
0,0,0,10,291,40,25,0,1,1,0.3913884667169857
0,0,0,10,157,29,22,0,0,0,0.17417808405325172
1,0,0,10,179,30,19,1,0,0,0.5590900635136818
1,0,0,10,179,30,19,1,0,0,0.5590900635136818
0,0,0,10,118,50,31,0,1,0,0.16372253358602176
1,0,0,11,118,37,28,0,0,0,0.5934537747471178
0,0,0,11,248,47,32,0,2,1,0.4448655858708061
1,0,0,11,179,38,31,0,0,0,0.747662552619609
0,0,0,11,260,36,23,0,4,0,0.612954605045271
0,0,0,11,291,40,25,0,1,1,0.40135770517493013
1,0,0,11,378,36,21,0,2,4,0.868354505837029
1,0,0,11,155,34,25,0,2,0,0.768538672934214
0,0,0,11,235,43,38,0,1,0,0.5299733214281247
0,0,0,11,330,28,25,1,0,0,0.4982412260429242
0,0,1,11,235,37,29,1,1,1,0.8422516204810022
1,0,0,11,118,37,28,0,0,0,0.5934537747471178
0,0,0,11,235,37,29,1,1,1,0.3129931550266785
0,0,0,11,179,38,31,0,0,0,0.27049534026902733
1,0,0,11,246,41,23,0,0,0,0.7416301610237297
1,0,0,11,291,40,25,0,1,1,0.8427037061259384
1,0,0,11,246,41,23,0,0,0,0.7416301610237297
0,0,0,11,179,38,31,0,0,0,0.27049534026902733
1,0,0,11,260,36,23,0,4,0,0.92676619950925
0,1,0,11,260,36,23,0,4,0,0.7358645911694818
0,0,0,11,378,36,21,0,2,4,0.4521944827078038
0,0,0,11,279,39,24,0,2,0,0.4997294728599954
0,0,0,11,179,38,31,0,0,0,0.27049534026902733
1,0,0,12,225,28,24,0,1,2,0.7673841432010516
0,0,0,12,179,38,31,0,0,0,0.27879584632247895
0,0,0,12,179,38,31,0,0,0,0.27879584632247895
0,0,0,12,235,37,29,1,1,1,0.3220220986527636
0,0,0,12,118,50,31,0,1,0,0.1754547999240985
0,0,0,12,260,36,23,0,4,0,0.6227923457644088
1,0,0,12,246,41,23,0,0,0,0.7495337290693856
0,0,0,12,179,38,31,0,0,0,0.27879584632247895
0,0,0,12,179,38,31,0,0,0,0.27879584632247895
